Steps (m),MeanDistance (d),Square root of Steps (m),Log (m),Log (d)
17658,116.7813153,132.8834075,14.10803433,6.867665656
17660,118.6737137,132.8909327,14.10819772,6.890856602
17662,119.1453736,132.8984575,14.1083611,6.896579122
17664,118.5236493,132.9059818,14.10852446,6.889031142
17666,119.6959959,132.9135057,14.1086878,6.903231081
17668,118.6726954,132.9210292,14.10885112,6.890844223
17670,117.4343341,132.9285522,14.10901442,6.875710459
17672,118.1931731,132.9360749,14.1091777,6.885002897
17674,118.2353173,132.9435971,14.10934097,6.885517227
17676,117.8609913,132.9511188,14.10950422,6.880942495
17678,115.2521709,132.9586402,14.10966744,6.848650115
17680,117.9272362,132.9661611,14.10983065,6.881753148
17682,116.476464,132.9736816,14.10999385,6.863894654
17684,118.5936211,132.9812017,14.11015702,6.889882603
17686,116.9992767,132.9887213,14.11032017,6.870355801
17688,118.5106236,132.9962405,14.11048331,6.888872582
17690,117.4983428,133.0037593,14.11064643,6.876496598
17692,121.8441269,133.0112777,14.11080953,6.928892902
17694,117.1864809,133.0187957,14.11097261,6.872662334
17696,118.0803627,133.0263132,14.11113567,6.883625248
17698,115.1837884,133.0338303,14.11129871,6.847793868
17700,115.9278913,133.041347,14.11146174,6.857083898
17702,119.9897651,133.0488632,14.11162475,6.906767542
17704,119.5179458,133.056379,14.11178774,6.901083447
17706,117.1556182,133.0638944,14.11195071,6.87228233
17708,114.7148916,133.0714094,14.11211366,6.841908875
17710,116.6816334,133.078924,14.11227659,6.866433678
17712,119.6573249,133.0864381,14.11243951,6.902764905
17714,117.3805531,133.0939518,14.1126024,6.875049601
17716,117.2872743,133.1014651,14.11276528,6.873902679
